Site_ID,year
17-115-0013,2003
17-115-0013,2004
17-115-0013,2005
17-115-0013,2006
17-115-0013,2007
17-119-2009,2002
17-119-2009,2003
17-119-2009,2004
17-119-2009,2005
17-119-2009,2006
17-119-2009,2007
18-037-2001,2005
18-037-2001,2006
18-037-2001,2007
18-037-2001,2008
18-065-0003,2003
18-065-0003,2004
18-065-0003,2005
18-065-0003,2006
18-065-0003,2007
18-065-0003,2008
18-097-0078,2001
18-097-0078,2002
18-097-0078,2003
18-097-0078,2004
18-097-0078,2005
18-097-0078,2006
18-097-0078,2007
18-175-9000,2002
18-175-9000,2003
18-175-9000,2004
18-175-9000,2005
18-175-9000,2006
18-175-9000,2007
18-175-9000,2008
19-113-0037,2002
19-113-0037,2003
19-113-0037,2004
19-113-0037,2005
19-113-0037,2006
19-113-0037,2007
19-113-0037,2008
19-137-0002,2003
19-137-0002,2004
19-137-0002,2005
19-137-0002,2006
19-137-0002,2007
19-137-0002,2008
19-153-0030,2003
19-153-0030,2004
19-153-0030,2005
19-153-0030,2006
19-153-0030,2007
19-153-0030,2008
19-163-0015,2002
19-163-0015,2003
19-163-0015,2004
19-163-0015,2005
19-163-0015,2006
19-163-0015,2007
19-163-0015,2008
19-177-0006,2003
19-177-0006,2004
19-177-0006,2005
19-177-0006,2006
19-177-0006,2007
19-177-0006,2008
20-013-9000,2003
20-013-9000,2004
20-013-9000,2005
20-013-9000,2006
20-013-9000,2007
20-013-9000,2008
20-017-0001,2003
20-017-0001,2004
20-017-0001,2005
20-017-0001,2006
20-017-0001,2007
20-017-0001,2008
20-195-0001,2003
20-195-0001,2004
20-195-0001,2005
20-195-0001,2006
20-195-0001,2007
20-195-0001,2008
20-209-0021,2002
20-209-0021,2003
20-209-0021,2004
20-209-0021,2005
20-209-0021,2006
20-209-0021,2007
20-209-0021,2008
21-019-0017,2002
21-019-0017,2003
21-019-0017,2004
21-019-0017,2005
21-019-0017,2006
21-019-0017,2007
21-019-0017,2008
21-061-0501,2000
21-061-0501,2001
21-061-0501,2002
21-061-0501,2003
21-061-0501,2004
21-061-0501,2005
21-061-0501,2006
21-061-0501,2007
21-061-0501,2008
21-061-9000,2000
21-061-9000,2001
21-061-9000,2002
21-061-9000,2003
21-061-9000,2004
21-061-9000,2005
21-061-9000,2006
21-061-9000,2007
21-061-9000,2008
21-067-0012,2002
21-067-0012,2003
21-067-0012,2004
21-067-0012,2005
21-067-0012,2006
21-067-0012,2007
21-067-0012,2008
21-111-0043,2003
21-111-0043,2004
21-111-0043,2005
21-111-0043,2006
21-111-0043,2007
21-111-0048,2002
21-111-0048,2003
21-111-0048,2004
21-111-0048,2005
21-111-0048,2006
21-117-0007,2002
